n.uniprot,n.name,n.description,n.match_community,n.normal_community,n.primary_community,n.match_degree,n.normal_degree,n.primary_degree,n.pagerank_match,n.pagerank_normal,n.pagerank_primary
Q9BZE9,ASPSCR1,"ASPSCR1 tether for SLC2A4, UBX domain containing [Source:HGNC Symbol;Acc:HGNC:13825]",0,0,0,89,113,15,1.4243625000000002,1.4929745,1.0720885
Q9Y5S2,CDC42BPB,CDC42 binding protein kinase beta [Source:HGNC Symbol;Acc:HGNC:1738],0,1,1,282,11,29,3.2106884999999994,1.1985940000000002,0.9852185
O14579,COPE,coatomer protein complex subunit epsilon [Source:HGNC Symbol;Acc:HGNC:2234],0,0,0,179,337,58,2.1915810000000002,4.2805325,2.3018685
Q9BW72,HIGD2A,HIG1 hypoxia inducible domain family member 2A [Source:HGNC Symbol;Acc:HGNC:28311],0,0,0,105,278,13,1.358989,3.3405430000000003,0.557269
Q14296,FASTK,Fas activated serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:24676],0,0,0,120,189,10,1.5500434999999995,3.1946149999999998,0.584265
P55196,AFDN,"afadin, adherens junction formation factor [Source:HGNC Symbol;Acc:HGNC:7137]",0,0,0,39,50,5,1.0289425,1.3021409999999998,0.6654060000000003
O95182,NDUFA7,NADH:ubiquinone oxidoreductase subunit A7 [Source:HGNC Symbol;Acc:HGNC:7691],0,0,0,250,27,42,2.7929985000000004,0.5021804999999999,1.4709680000000003
P49720,PSMB3,proteasome subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:9540],0,0,0,226,219,45,2.6074265,2.7458065,1.6576874999999998
Q13433,SLC39A6,solute carrier family 39 member 6 [Source:HGNC Symbol;Acc:HGNC:18607],0,1,1,24,98,1,0.47736049999999997,2.53187,0.1910805
P78537,BLOC1S1,biogenesis of lysosomal organelles complex 1 subunit 1 [Source:HGNC Symbol;Acc:HGNC:4200],0,0,0,374,210,73,4.449478499999999,2.4727525,2.569270000000001
Q86TN4,TRPT1,tRNA phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:20316],0,0,0,231,122,36,2.7581485,1.7115095,1.3732944999999996
O43678,NDUFA2,NADH:ubiquinone oxidoreductase subunit A2 [Source:HGNC Symbol;Acc:HGNC:7685],0,0,0,359,365,111,4.4302174999999995,4.193075999999999,4.063561500000001
P41227,NAA10,"N(alpha)-acetyltransferase 10, NatA catalytic subunit [Source:HGNC Symbol;Acc:HGNC:18704]",0,0,0,362,228,36,3.9385775,3.7685179999999994,1.4653239999999998
Q9Y4X5,ARIH1,ariadne RBR E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:689],1,1,1,353,16,48,3.901543,0.885352,1.4494290000000003
Q6ZVN7,SEM1,SEM1 26S proteasome complex subunit [Source:HGNC Symbol;Acc:HGNC:10845],0,0,0,165,78,33,2.0357844999999997,1.2079695000000001,1.4989329999999996
P19404,NDUFV2,NADH:ubiquinone oxidoreductase core subunit V2 [Source:HGNC Symbol;Acc:HGNC:7717],0,0,0,180,2,11,2.0901419999999997,0.172304,0.4927709999999999
Q6P1R4,DUS1L,dihydrouridine synthase 1 like [Source:HGNC Symbol;Acc:HGNC:30086],0,0,0,118,103,5,1.9560970000000002,1.5098215,0.38159100000000007
O43150,ASAP2,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:2721]",0,1,0,168,32,45,2.7744344999999995,0.8923815,3.184296
P53804,TTC3,tetratricopeptide repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:12393],0,1,1,88,45,1,1.1684869999999998,1.1413635000000002,0.179359
P14854,COX6B1,cytochrome c oxidase subunit 6B1 [Source:HGNC Symbol;Acc:HGNC:2280],0,0,0,498,352,91,5.567245500000001,4.0847774999999995,3.043102499999999
O14957,UQCR11,"ubiquinol-cytochrome c reductase, complex III subunit XI [Source:HGNC Symbol;Acc:HGNC:30862]",0,0,0,298,325,72,3.654966499999999,3.7935845,2.7916215
O75071,EFCAB14,EF-hand calcium binding domain 14 [Source:HGNC Symbol;Acc:HGNC:29051],1,1,1,121,205,16,1.5872309999999998,4.3104525,0.49175099999999994
Q7L576,CYFIP1,cytoplasmic FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:13759],0,1,1,85,2,1,1.3555464999999998,0.2734285000000001,0.17424200000000004
Q9NYG5,ANAPC11,anaphase promoting complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:14452],0,0,0,395,408,92,4.876816000000001,4.860037000000001,3.5079844999999996
O95373,IPO7,importin 7 [Source:HGNC Symbol;Acc:HGNC:9852],0,1,1,81,109,29,1.7640990000000005,2.1301855000000005,1.64787
Q16630,CPSF6,cleavage and polyadenylation specific factor 6 [Source:HGNC Symbol;Acc:HGNC:13871],2,2,2,20,11,2,0.652843,0.5070085,0.3219719999999999
P61927,RPL37,ribosomal protein L37 [Source:HGNC Symbol;Acc:HGNC:10347],3,0,3,74,74,39,1.3625249999999995,1.3866310000000002,1.481882
P61353,RPL27,ribosomal protein L27 [Source:HGNC Symbol;Acc:HGNC:10328],3,0,3,49,80,24,1.0705839999999995,1.5034379999999998,1.0342889999999998
P62263,RPS14,ribosomal protein S14 [Source:HGNC Symbol;Acc:HGNC:10387],3,0,3,55,57,34,1.0473535,1.03723,1.3141770000000004
P08708,RPS17,ribosomal protein S17 [Source:HGNC Symbol;Acc:HGNC:10397],3,0,3,55,68,44,1.106454,1.2545665000000001,1.8532129999999998
P63220,RPS21,ribosomal protein S21 [Source:HGNC Symbol;Acc:HGNC:10409],3,0,3,66,69,39,1.2165035,1.1630469999999997,1.535092
P61513,RPL37A,ribosomal protein L37a [Source:HGNC Symbol;Acc:HGNC:10348],3,0,3,62,75,44,1.1048730000000002,1.255731,1.7217009999999997
P62899,RPL31,ribosomal protein L31 [Source:HGNC Symbol;Acc:HGNC:10334],3,0,3,65,70,39,1.3580624999999997,1.2385780000000002,1.575637
P20290,BTF3,basic transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:1125],3,0,null,24,29,0,0.6492049999999999,0.8216870000000001,0.15000000000000002
P62266,RPS23,ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:10410],3,0,3,31,18,8,0.7136094999999999,0.5066175000000003,0.43263350000000006
P27635,RPL10,ribosomal protein L10 [Source:HGNC Symbol;Acc:HGNC:10298],3,0,3,26,63,12,0.6387415000000001,1.1268285,0.573113
P62277,RPS13,ribosomal protein S13 [Source:HGNC Symbol;Acc:HGNC:10386],3,0,3,36,58,22,0.7837345000000001,1.1222214999999998,0.8985015000000001
Q9Y3U8,RPL36,ribosomal protein L36 [Source:HGNC Symbol;Acc:HGNC:13631],3,0,3,73,63,30,1.3067055,1.078625,1.1854615
P46776,RPL27A,ribosomal protein L27a [Source:HGNC Symbol;Acc:HGNC:10329],3,0,3,87,73,46,1.4087140000000002,1.4140945,1.7295209999999999
P62829,RPL23,ribosomal protein L23 [Source:HGNC Symbol;Acc:HGNC:10316],3,0,3,58,72,47,1.068442,1.4404190000000001,1.8249675
P46781,RPS9,ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442],3,0,3,56,38,12,1.395709,0.721863,0.5788674999999999
P62917,RPL8,ribosomal protein L8 [Source:HGNC Symbol;Acc:HGNC:10368],3,0,3,78,132,32,1.2956130000000003,1.8750155000000004,1.2747965
P62913,RPL11,ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301],3,0,3,76,74,50,1.5658789999999998,1.4342309999999998,2.0792194999999998
P62851,RPS25,ribosomal protein S25 [Source:HGNC Symbol;Acc:HGNC:10413],3,0,3,46,42,21,0.9060070000000001,0.9595825,0.8923135000000001
P40429,RPL13A,ribosomal protein L13a [Source:HGNC Symbol;Acc:HGNC:10304],3,0,3,55,75,35,1.466803,1.4281875000000008,1.6477935000000001
O75821,EIF3G,eukaryotic translation initiation factor 3 subunit G [Source:NCBI gene;Acc:8666],3,0,null,18,22,0,0.5714555000000002,0.5007780000000001,0.15000000000000002
P22087,FBL,fibrillarin [Source:HGNC Symbol;Acc:HGNC:3599],3,0,null,46,8,0,1.0259419999999997,0.279625,0.15000000000000002
P46783,RPS10,ribosomal protein S10 [Source:HGNC Symbol;Acc:HGNC:10383],3,0,3,26,18,8,0.7206645,0.42226350000000007,0.47005049999999987
P18124,RPL7,ribosomal protein L7 [Source:HGNC Symbol;Acc:HGNC:10363],3,0,3,13,14,6,0.597576,0.7067074999999998,0.7167205000000001
P62280,RPS11,ribosomal protein S11 [Source:HGNC Symbol;Acc:HGNC:10384],3,0,3,77,76,53,1.4403849999999998,1.4162449999999993,2.084617
P61254,RPL26,ribosomal protein L26 [Source:HGNC Symbol;Acc:HGNC:10327],3,0,3,32,26,6,0.8647140000000002,0.6266885000000002,0.44662450000000004
P18077,RPL35A,ribosomal protein L35a [Source:HGNC Symbol;Acc:HGNC:10345],3,0,3,77,58,44,1.53278,1.248846,1.8940555
P23396,RPS3,ribosomal protein S3 [Source:HGNC Symbol;Acc:HGNC:10420],3,0,3,54,47,25,1.1701020000000002,1.0989485,1.0721395
P61247,RPS3A,ribosomal protein S3A [Source:HGNC Symbol;Acc:HGNC:10421],3,0,3,24,9,10,0.8190690000000002,0.3992030000000001,0.7792040000000001
P62906,RPL10A,ribosomal protein L10a [Source:HGNC Symbol;Acc:HGNC:10299],3,0,3,17,36,3,0.721557,0.8249595000000003,0.46615750000000006
P62249,RPS16,ribosomal protein S16 [Source:HGNC Symbol;Acc:HGNC:10396],3,0,3,72,51,24,1.3235949999999999,0.8716670000000001,1.0950469999999999
P42677,RPS27,ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:10416],3,0,3,16,14,2,0.6207809999999998,0.45164800000000005,0.2803475000000001
P05388,RPLP0,ribosomal protein lateral stalk subunit P0 [Source:HGNC Symbol;Acc:HGNC:10371],3,0,3,24,37,1,0.8363750000000001,0.9214940000000001,0.189729
P46782,RPS5,ribosomal protein S5 [Source:HGNC Symbol;Acc:HGNC:10426],3,0,3,26,61,2,0.7687829999999999,1.0757265,0.3386575
P62273,RPS29,ribosomal protein S29 [Source:HGNC Symbol;Acc:HGNC:10419],3,0,3,14,11,9,0.5547190000000001,0.558714,0.7168055000000004
P62891,RPL39,ribosomal protein L39 [Source:HGNC Symbol;Acc:HGNC:10350],3,0,3,32,5,10,0.6883645,0.23775400000000005,0.48712700000000003
P62987,UBA52,ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458],3,0,3,52,90,26,1.0442509999999998,1.4168144999999996,1.0364054999999999
P62979,RPS27A,ribosomal protein S27a [Source:HGNC Symbol;Acc:HGNC:10417],3,0,3,21,25,6,0.7686045,0.698539,0.45812500000000006
Q6NZ67,MZT2B,mitotic spindle organizing protein 2B [Source:HGNC Symbol;Acc:HGNC:25886],0,0,0,200,181,9,2.7200600000000006,2.4259684999999993,0.6606970000000001
Q96FX7,TRMT61A,tRNA methyltransferase 61A [Source:HGNC Symbol;Acc:HGNC:23790],0,0,0,153,50,7,2.559665,1.062322,0.6456009999999999
Q8NEP7,KLHDC9,kelch domain containing 9 [Source:HGNC Symbol;Acc:HGNC:28489],0,3,null,13,2,0,0.3497415,0.5702230000000001,0.15000000000000002
Q92506,HSD17B8,hydroxysteroid 17-beta dehydrogenase 8 [Source:HGNC Symbol;Acc:HGNC:3554],0,0,0,8,3,1,0.4106865,0.3076155,0.3411990000000001
Q9BX68,HINT2,histidine triad nucleotide binding protein 2 [Source:HGNC Symbol;Acc:HGNC:18344],0,0,0,215,127,30,3.4612004999999995,1.6894180000000005,1.4151485
Q9BRJ6,C7orf50,chromosome 7 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:22421],0,0,0,70,144,6,1.3284740000000002,1.9262960000000002,0.7498874999999998
O43822,CFAP410,cilia and flagella associated protein 410 [Source:HGNC Symbol;Acc:HGNC:1260],0,0,null,36,13,0,0.6619890000000002,0.321785,0.15000000000000002
Q9H469,FBXL15,F-box and leucine rich repeat protein 15 [Source:HGNC Symbol;Acc:HGNC:28155],0,0,0,15,49,15,0.418209,1.6846239999999997,1.5546419999999996
Q15262,PTPRK,protein tyrosine phosphatase receptor type K [Source:HGNC Symbol;Acc:HGNC:9674],0,0,0,84,140,11,1.7281270000000002,1.8747775,0.9686689999999999
P10176,COX8A,cytochrome c oxidase subunit 8A [Source:HGNC Symbol;Acc:HGNC:2294],0,0,0,179,244,38,2.8961884999999996,3.187772500000001,2.3637995000000003
Q96LL9,DNAJC30,DnaJ heat shock protein family (Hsp40) member C30 [Source:HGNC Symbol;Acc:HGNC:16410],0,0,null,12,13,0,0.393865,0.6200584999999998,0.15000000000000002
Q9BYN8,MRPS26,mitochondrial ribosomal protein S26 [Source:HGNC Symbol;Acc:HGNC:14045],0,0,0,102,109,37,1.6119660000000002,1.8077804999999998,1.8686745
A0AVI4,TMEM129,transmembrane protein 129 [Source:HGNC Symbol;Acc:HGNC:25137],0,3,null,14,4,0,0.8079680000000001,0.3273865,0.15000000000000002
Q6UW78,UQCC3,ubiquinol-cytochrome c reductase complex assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:34399],0,0,0,288,247,73,3.5690825000000004,3.1584645,3.1110770000000003
Q9BUT9,MCRIP2,MAPK regulated corepressor interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:14142],0,0,0,180,167,41,3.341835,2.1043114999999997,2.8691500000000008
Q969W8,ZNF566,zinc finger protein 566 [Source:HGNC Symbol;Acc:HGNC:25919],2,1,2,20,74,4,0.5749745,1.9148209999999999,0.5418329999999999
Q08AN1,ZNF616,zinc finger protein 616 [Source:HGNC Symbol;Acc:HGNC:28062],2,1,null,12,105,0,0.4523195000000001,2.9905384999999995,0.15000000000000002
Q6P3V2,ZNF585A,zinc finger protein 585A [Source:HGNC Symbol;Acc:HGNC:26305],2,1,1,63,58,8,1.2102730000000002,1.7351225,0.7318505
Q76FK4,NOL8,nucleolar protein 8 [Source:HGNC Symbol;Acc:HGNC:23387],2,1,null,30,48,0,0.9494335,1.2005235,0.15000000000000002
Q8IYI8,ZNF440,zinc finger protein 440 [Source:HGNC Symbol;Acc:HGNC:20874],2,1,null,13,5,0,0.7580985,0.29260450000000005,0.15000000000000002
Q5JVG8,ZNF506,zinc finger protein 506 [Source:HGNC Symbol;Acc:HGNC:23780],2,1,1,18,17,1,0.5868405,0.519172,0.23195700000000002
Q86Y25,ZNF354C,zinc finger protein 354C [Source:HGNC Symbol;Acc:HGNC:16736],2,1,1,94,153,29,1.6340829999999997,3.482340000000001,1.2752810000000006
Q8N587,ZNF561,zinc finger protein 561 [Source:HGNC Symbol;Acc:HGNC:28684],2,1,null,1,36,0,0.1810335,1.0483140000000002,0.15000000000000002
Q8TAF7,ZNF461,zinc finger protein 461 [Source:HGNC Symbol;Acc:HGNC:21629],2,1,2,48,46,8,1.3761335000000003,1.3155285,0.9254040000000001
Q8NA42,ZNF383,zinc finger protein 383 [Source:HGNC Symbol;Acc:HGNC:18609],2,1,2,24,129,14,0.887511,3.3866809999999994,1.7191934999999998
Q96JN0,LCOR,ligand dependent nuclear receptor corepressor [Source:HGNC Symbol;Acc:HGNC:29503],2,1,1,71,93,3,1.4005625000000002,1.760172,0.25870650000000006
Q9HCL3,ZFP14,ZFP14 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:29312],2,1,2,71,100,18,1.9205330000000003,2.8610664999999997,2.0052865000000004
P52737,ZNF136,zinc finger protein 136 [Source:HGNC Symbol;Acc:HGNC:12920],2,1,2,42,28,7,1.259284,0.8348365,0.932289
Q8TAM1,BBS10,Bardet-Biedl syndrome 10 [Source:HGNC Symbol;Acc:HGNC:26291],2,1,null,13,57,0,0.433135,1.5757050000000001,0.15000000000000002
Q9UJU3,ZNF112,zinc finger protein 112 [Source:HGNC Symbol;Acc:HGNC:12892],2,1,2,28,72,6,0.7798245000000001,2.1408869999999998,0.6870385000000001
O75346,ZNF253,zinc finger protein 253 [Source:HGNC Symbol;Acc:HGNC:13497],2,1,2,16,114,6,0.7026955000000001,3.0752239999999995,0.7016754999999997
Q68DY1,ZNF626,zinc finger protein 626 [Source:HGNC Symbol;Acc:HGNC:30461],2,1,2,13,39,2,0.6656865,1.3108534999999997,0.348135
Q68DI1,ZNF776,zinc finger protein 776 [Source:HGNC Symbol;Acc:HGNC:26765],2,1,2,179,21,14,3.8517925,0.6494175000000003,1.3655425
Q05481,ZNF91,zinc finger protein 91 [Source:HGNC Symbol;Acc:HGNC:13166],2,1,1,62,41,12,1.5667290000000005,1.236674,1.161041
Q9UK11,AC092072.1,zinc finger protein 223 [Source:NCBI gene;Acc:7766],2,1,null,20,71,0,0.6041465000000001,2.0402555,0.15000000000000002
Q7Z3K6,MIER3,MIER family member 3 [Source:HGNC Symbol;Acc:HGNC:26678],2,1,1,150,24,18,2.4179955,0.8560694999999998,0.8788834999999999
Q8N7M2,ZNF283,zinc finger protein 283 [Source:HGNC Symbol;Acc:HGNC:13077],2,1,1,22,71,4,0.680077,1.9399469999999999,0.472983
Q86WZ6,ZNF227,zinc finger protein 227 [Source:HGNC Symbol;Acc:HGNC:13020],2,1,null,28,79,0,1.0941885,2.0361245,0.15000000000000002
Q9H5V7,IKZF5,IKAROS family zinc finger 5 [Source:HGNC Symbol;Acc:HGNC:14283],2,1,1,48,17,15,1.0252875,0.5909544999999998,0.8885564999999999
Q9H582,ZNF644,zinc finger protein 644 [Source:HGNC Symbol;Acc:HGNC:29222],2,1,1,164,18,67,2.8986365,0.8327540000000002,2.5035224999999994
Q96CX3,ZNF501,zinc finger protein 501 [Source:HGNC Symbol;Acc:HGNC:23717],2,1,null,2,50,0,0.21818700000000002,1.3556909999999998,0.15000000000000002
O15060,ZBTB39,zinc finger and BTB domain containing 39 [Source:HGNC Symbol;Acc:HGNC:29014],2,1,null,33,53,0,0.7069030000000002,1.6184004999999997,0.15000000000000002
Q9Y2H8,ZNF510,zinc finger protein 510 [Source:HGNC Symbol;Acc:HGNC:29161],2,1,1,103,140,43,2.4767815,3.282726,2.198449
O75373,AC008554.1,zinc finger protein 737 [Source:NCBI gene;Acc:100129842],1,1,1,94,65,4,1.6471729999999996,1.9721704999999994,0.3979535
Q9UL59,ZNF214,zinc finger protein 214 [Source:HGNC Symbol;Acc:HGNC:13006],2,1,2,16,114,2,0.7333209999999999,3.5483765,0.357162
Q6ZUT1,NKAPD1,NKAP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25569],4,1,null,2,91,0,0.5799895000000002,2.5405314999999993,0.15000000000000002
O14981,BTAF1,B-TFIID TATA-box binding protein associated factor 1 [Source:HGNC Symbol;Acc:HGNC:17307],2,2,2,52,60,4,1.3186565000000003,1.9771344999999998,0.5323215
Q9Y6X3,MAU2,MAU2 sister chromatid cohesion factor [Source:HGNC Symbol;Acc:HGNC:29140],2,1,4,31,18,1,0.9132149999999999,0.9828639999999998,0.6722654999999997
A0A0C4DH33,IGHV1-24,immunoglobulin heavy variable 1-24 [Source:HGNC Symbol;Acc:HGNC:5551],5,4,5,229,464,142,1.4580225,1.1071935,1.0882640000000001
A0A0B4J1X5,IGHV3-74,immunoglobulin heavy variable 3-74 [Source:HGNC Symbol;Acc:HGNC:5624],5,4,5,233,513,155,1.5054099999999997,1.2296105000000002,1.1835660000000001
Q96Q27,ASB2,ankyrin repeat and SOCS box containing 2 [Source:HGNC Symbol;Acc:HGNC:16012],5,4,6,80,497,6,0.6598894999999999,1.32589,0.19676700000000005
Q7Z6A9,BTLA,B and T lymphocyte associated [Source:HGNC Symbol;Acc:HGNC:21087],5,4,6,363,706,209,2.5018990000000003,1.6727665,1.7031539999999994
P0DOY3,IGLC3,immunoglobulin lambda constant 3 (Kern-Oz+ marker) [Source:HGNC Symbol;Acc:HGNC:5857],5,4,5,270,486,167,1.7544174999999997,1.1630554999999996,1.2718470000000002
P42768,WAS,WASP actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12731],5,4,6,400,911,266,2.9324069999999995,2.2877840000000007,2.4449235
P17947,SPI1,Spi-1 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:11241],5,4,6,264,784,215,2.204994,2.015478,2.0417175
A0A0B4J1V1,IGHV3-21,immunoglobulin heavy variable 3-21 [Source:HGNC Symbol;Acc:HGNC:5586],5,4,5,270,490,172,1.7286795,1.1553969999999996,1.3105560000000003
Q96PP8,GBP5,guanylate binding protein 5 [Source:HGNC Symbol;Acc:HGNC:19895],5,4,6,364,817,288,2.7003995000000005,1.9555955000000007,2.469803
O14626,GPR171,G protein-coupled receptor 171 [Source:HGNC Symbol;Acc:HGNC:30057],5,4,6,204,579,133,1.5568434999999998,1.4739600000000006,1.1603354999999997
Q9BT23,LIMD2,LIM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28142],5,4,6,116,888,85,1.3718069999999996,2.2228524999999992,1.0620499999999997
P01704,IGLV2-14,immunoglobulin lambda variable 2-14 [Source:HGNC Symbol;Acc:HGNC:5888],5,4,5,243,600,166,1.5539279999999995,1.4209965000000002,1.2658630000000004
P78325,ADAM8,ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:HGNC:215],5,4,6,201,683,89,1.6732509999999998,1.8621974999999995,0.9024455000000001
O43586,PSTPIP1,proline-serine-threonine phosphatase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:9580],5,4,6,225,854,229,1.6655075000000001,2.128196499999999,2.0743915000000004
P01594,IGKV1-33,immunoglobulin kappa variable 1-33 [Source:HGNC Symbol;Acc:HGNC:5737],5,4,5,193,174,99,1.2362915,0.596454,0.9274355
P01619,IGKV3-20,immunoglobulin kappa variable 3-20 [Source:HGNC Symbol;Acc:HGNC:5817],5,4,5,246,557,174,1.5711830000000002,1.3086605,1.32504
P01715,IGLV3-1,immunoglobulin lambda variable 3-1 [Source:HGNC Symbol;Acc:HGNC:5896],5,4,5,288,532,165,1.8894314999999995,1.2535549999999998,1.2552125
P80748,IGLV3-21,immunoglobulin lambda variable 3-21 [Source:HGNC Symbol;Acc:HGNC:5905],5,4,5,230,581,145,1.471529,1.3505740000000002,1.11169
P01817,IGHV2-5,immunoglobulin heavy variable 2-5 [Source:HGNC Symbol;Acc:HGNC:5576],5,4,5,141,160,114,0.9283705000000001,0.4947175,0.890503
P19971,TYMP,thymidine phosphorylase [Source:HGNC Symbol;Acc:HGNC:3148],5,4,6,73,337,4,0.5985195000000001,1.2557734999999999,0.18077849999999998
A0A075B6S2,IGKV2D-29,immunoglobulin kappa variable 2D-29 [Source:HGNC Symbol;Acc:HGNC:5800],5,4,5,159,312,116,1.045424,0.7978274999999999,0.9046129999999999
